strategy,window_k,decay_lambda,use_fusion,use_decay,auroc,auroc_ci_lo,auroc_ci_hi,auprc,best_f1,best_threshold,false_alarm_rate_per_day
historical,1,0.1,True,True,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,0.25,True,True,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,0.5,True,True,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,1.0,True,True,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,2.0,True,True,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,3,0.1,True,True,0.8253,0.7889,0.86,0.3448,0.4669,0.25,1.3401
historical,3,0.25,True,True,0.8281,0.7928,0.8629,0.3238,0.4844,0.3,0.5882
historical,3,0.5,True,True,0.83,0.7958,0.8626,0.2978,0.4561,0.34,1.3401
historical,3,1.0,True,True,0.814,0.78,0.8462,0.2366,0.4019,0.4,1.71
historical,3,2.0,True,True,0.7756,0.743,0.8057,0.1599,0.2537,0.44,4.6812
historical,6,0.1,True,True,0.8346,0.7999,0.8701,0.4883,0.6371,0.17,0.2547
historical,6,0.25,True,True,0.8416,0.8071,0.8749,0.4957,0.6232,0.23,0.4002
historical,6,0.5,True,True,0.8432,0.8073,0.8762,0.4721,0.5739,0.32,0.1637
historical,6,1.0,True,True,0.8214,0.787,0.8539,0.2732,0.4144,0.39,1.7342
historical,6,2.0,True,True,0.7761,0.7434,0.8062,0.1608,0.2562,0.44,4.6145
historical,12,0.1,True,True,0.8408,0.8071,0.8747,0.4948,0.6205,0.11,0.3032
historical,12,0.25,True,True,0.8443,0.8098,0.8775,0.5054,0.6219,0.2,0.3517
historical,12,0.5,True,True,0.8442,0.8085,0.8769,0.4863,0.5876,0.31,0.188
historical,12,1.0,True,True,0.8216,0.7871,0.8541,0.274,0.4199,0.39,1.6614
historical,12,2.0,True,True,0.7761,0.7434,0.8061,0.1608,0.2562,0.44,4.6145
historical,24,0.1,True,True,0.8415,0.8081,0.8755,0.5022,0.6138,0.09,0.2607
historical,24,0.25,True,True,0.8447,0.81,0.8777,0.5215,0.626,0.2,0.1758
historical,24,0.5,True,True,0.8443,0.8086,0.8771,0.4903,0.5876,0.31,0.188
historical,24,1.0,True,True,0.8216,0.7871,0.8541,0.274,0.4199,0.39,1.6614
historical,24,2.0,True,True,0.7761,0.7434,0.8061,0.1607,0.2562,0.44,4.6145
physics,1,0.1,True,True,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,1,0.25,True,True,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,1,0.5,True,True,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,1,1.0,True,True,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,1,2.0,True,True,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,3,0.1,True,True,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,3,0.25,True,True,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,3,0.5,True,True,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,3,1.0,True,True,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,3,2.0,True,True,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,6,0.1,True,True,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,6,0.25,True,True,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,6,0.5,True,True,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,6,1.0,True,True,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
