phase,strategy,window_k,decay_lambda,use_fusion,use_decay,physics_bounds_mode,anomaly_score,smoothing_window,threshold_mode,auroc,auroc_ci_lo,auroc_ci_hi,auprc,best_f1,best_threshold,best_precision,best_recall,false_alarm_rate_per_day,auroc_fused_u,auroc_fused_d,auroc_max_d,auroc_max_u,auroc_mean_u,auroc_composite_ud,f1_at_f1opt,f1_at_q90,f1_at_q95,f1_at_q99,prec_at_q95,rec_at_q95,fpr_at_q95,prec_at_q99,rec_at_q99,fpr_at_q99
hyperparam,historical,1,0.1,True,True,domain,fused_u,1,f1_optimal_eval,0.7347,0.7034,0.7646,0.11,0.2086,0.465,0.1247,0.6393,5.9606,0.7347,0.8067,0.8067,0.7347,0.619,0.8045,0.2086,0.1106,0.115,0.1176,0.0612,0.9543,0.8103,0.0627,0.9452,0.782
hyperparam,historical,1,0.1,False,True,domain,fused_u,1,f1_optimal_eval,0.7347,0.7034,0.7646,0.11,0.2086,0.465,0.1247,0.6393,5.9606,0.7347,0.8067,0.8067,0.7347,0.619,0.8045,0.2086,0.1106,0.115,0.1176,0.0612,0.9543,0.8103,0.0627,0.9452,0.782
hyperparam,historical,1,0.25,True,True,domain,fused_u,1,f1_optimal_eval,0.7347,0.7034,0.7646,0.11,0.2086,0.465,0.1247,0.6393,5.9606,0.7347,0.8067,0.8067,0.7347,0.619,0.8045,0.2086,0.1106,0.115,0.1176,0.0612,0.9543,0.8103,0.0627,0.9452,0.782
hyperparam,historical,1,0.25,False,True,domain,fused_u,1,f1_optimal_eval,0.7347,0.7034,0.7646,0.11,0.2086,0.465,0.1247,0.6393,5.9606,0.7347,0.8067,0.8067,0.7347,0.619,0.8045,0.2086,0.1106,0.115,0.1176,0.0612,0.9543,0.8103,0.0627,0.9452,0.782
hyperparam,historical,1,0.5,True,True,domain,fused_u,1,f1_optimal_eval,0.7347,0.7034,0.7646,0.11,0.2086,0.465,0.1247,0.6393,5.9606,0.7347,0.8067,0.8067,0.7347,0.619,0.8045,0.2086,0.1106,0.115,0.1176,0.0612,0.9543,0.8103,0.0627,0.9452,0.782
hyperparam,historical,1,0.5,False,True,domain,fused_u,1,f1_optimal_eval,0.7347,0.7034,0.7646,0.11,0.2086,0.465,0.1247,0.6393,5.9606,0.7347,0.8067,0.8067,0.7347,0.619,0.8045,0.2086,0.1106,0.115,0.1176,0.0612,0.9543,0.8103,0.0627,0.9452,0.782
hyperparam,historical,1,1.0,True,True,domain,fused_u,1,f1_optimal_eval,0.7347,0.7034,0.7646,0.11,0.2086,0.465,0.1247,0.6393,5.9606,0.7347,0.8067,0.8067,0.7347,0.619,0.8045,0.2086,0.1106,0.115,0.1176,0.0612,0.9543,0.8103,0.0627,0.9452,0.782
hyperparam,historical,1,1.0,False,True,domain,fused_u,1,f1_optimal_eval,0.7347,0.7034,0.7646,0.11,0.2086,0.465,0.1247,0.6393,5.9606,0.7347,0.8067,0.8067,0.7347,0.619,0.8045,0.2086,0.1106,0.115,0.1176,0.0612,0.9543,0.8103,0.0627,0.9452,0.782
hyperparam,historical,1,2.0,True,True,domain,fused_u,1,f1_optimal_eval,0.7347,0.7034,0.7646,0.11,0.2086,0.465,0.1247,0.6393,5.9606,0.7347,0.8067,0.8067,0.7347,0.619,0.8045,0.2086,0.1106,0.115,0.1176,0.0612,0.9543,0.8103,0.0627,0.9452,0.782
hyperparam,historical,1,2.0,False,True,domain,fused_u,1,f1_optimal_eval,0.7347,0.7034,0.7646,0.11,0.2086,0.465,0.1247,0.6393,5.9606,0.7347,0.8067,0.8067,0.7347,0.619,0.8045,0.2086,0.1106,0.115,0.1176,0.0612,0.9543,0.8103,0.0627,0.9452,0.782
