idx,timestamp,is_attack,fused_u,fused_b,fused_d,max_u,mean_u,min_b,mean_b,max_d,n_sensors,n_high_u
0,04/07/16 00,0,0.298679,0.594556,0.106765,0.298679,0.109793,0.594556,0.847470,0.106765,31,0
1,04/07/16 01,0,0.260574,0.609442,0.129984,0.453938,0.231475,0.376375,0.721710,0.169688,31,0
2,04/07/16 02,0,0.250386,0.590804,0.158810,0.574726,0.322720,0.293121,0.632073,0.169688,31,7
3,04/07/16 03,0,0.246366,0.543088,0.210546,0.668796,0.396977,0.228283,0.559463,0.234791,31,45
4,04/07/16 04,0,0.241905,0.493269,0.264826,0.742058,0.457115,0.177787,0.502531,0.255054,31,78
5,04/07/16 05,0,0.162407,0.660221,0.177372,0.799115,0.513224,0.138460,0.448533,0.198636,31,108
6,04/07/16 06,0,0.178208,0.640384,0.181408,0.843550,0.558409,0.107833,0.405886,0.191759,31,137
7,04/07/16 07,0,0.187075,0.647722,0.173481,0.878157,0.601217,0.083981,0.364020,0.222783,31,174
8,04/07/16 08,0,0.184225,0.650986,0.164788,0.905109,0.631599,0.065404,0.335978,0.432638,31,203
9,04/07/16 09,0,0.191424,0.630364,0.178212,0.926098,0.658901,0.050937,0.311911,0.336939,31,236
10,04/07/16 10,0,0.173478,0.658864,0.167658,0.942445,0.680581,0.039670,0.293768,0.262408,31,261
11,04/07/16 11,0,0.162835,0.702624,0.134540,0.955176,0.700930,0.030895,0.276088,0.204364,31,291
12,04/07/16 12,0,0.155374,0.706915,0.137711,0.965091,0.719356,0.024061,0.259769,0.159159,31,320
13,04/07/16 13,0,0.169579,0.681897,0.148525,0.972813,0.735958,0.018739,0.244940,0.166040,31,351
14,04/07/16 14,0,0.174042,0.667392,0.158566,0.978827,0.750943,0.014594,0.231588,0.139499,31,381
15,04/07/16 15,0,0.168948,0.671750,0.159302,0.983510,0.764642,0.011366,0.219192,0.129796,31,413
16,04/07/16 16,0,0.167894,0.671461,0.160645,0.987158,0.776679,0.008851,0.208371,0.127082,31,446
17,04/07/16 17,0,0.163442,0.678186,0.158372,0.989999,0.787449,0.006894,0.198772,0.121323,31,475
18,04/07/16 18,0,0.170239,0.665332,0.164429,0.992211,0.797524,0.005369,0.189593,0.133201,31,502
19,04/07/16 19,0,0.179570,0.646478,0.173953,0.993934,0.808177,0.004181,0.179330,0.169688,31,535
20,04/07/16 20,0,0.152186,0.669038,0.178776,0.995276,0.816632,0.003256,0.171305,0.395206,31,568
21,04/07/16 21,0,0.148663,0.699978,0.151358,0.996321,0.824394,0.002536,0.164136,0.312739,31,601
22,04/07/16 22,0,0.168411,0.624761,0.206827,0.997135,0.831725,0.001975,0.157291,0.270475,31,628
23,04/07/16 23,0,0.179998,0.590928,0.229073,0.997768,0.838464,0.001538,0.150980,0.275166,31,660
24,05/07/16 00,0,0.184650,0.565274,0.250076,0.998262,0.838205,0.001198,0.151324,0.284214,31,660
25,05/07/16 01,0,0.194234,0.508396,0.297370,0.998262,0.837780,0.001198,0.151847,0.302312,31,662
26,05/07/16 02,0,0.177311,0.584045,0.240797,0.998303,0.837603,0.000944,0.152267,0.235441,31,659
27,05/07/16 03,0,0.176795,0.655693,0.167512,0.998316,0.837749,0.000735,0.152053,0.234791,31,657
28,05/07/16 04,0,0.161072,0.681491,0.157436,0.998277,0.836538,0.000572,0.153798,0.182856,31,660
29,05/07/16 05,0,0.138755,0.723093,0.138152,0.998276,0.836259,0.000446,0.154190,0.169688,31,656
30,05/07/16 06,0,0.147808,0.738956,0.113236,0.998296,0.837970,0.000347,0.151780,0.234791,31,655
31,05/07/16 07,0,0.156029,0.673810,0.170160,0.998353,0.838352,0.000270,0.150912,0.298651,31,660
32,05/07/16 08,0,0.087864,0.851913,0.078229,0.998273,0.836304,0.001134,0.153784,0.232589,31,664
33,05/07/16 09,0,0.101790,0.826989,0.071947,0.998044,0.835048,0.001538,0.155583,0.181141,31,658
34,05/07/16 10,0,0.115977,0.804686,0.083228,0.998185,0.834351,0.001356,0.156611,0.141073,31,652
35,05/07/16 11,0,0.122407,0.785478,0.092115,0.998024,0.833897,0.001556,0.157300,0.109867,31,653
36,05/07/16 12,0,0.125921,0.773531,0.100548,0.998260,0.833318,0.001212,0.158094,0.101860,31,655
37,05/07/16 13,0,0.097499,0.827225,0.076361,0.998132,0.832706,0.001424,0.158963,0.082463,31,655
38,05/07/16 14,0,0.108509,0.813935,0.077556,0.998024,0.832457,0.001175,0.159338,0.095790,31,654
39,05/07/16 15,0,0.123911,0.796157,0.085729,0.997994,0.833402,0.000915,0.158108,0.169688,31,654
40,05/07/16 16,0,0.150442,0.730668,0.118890,0.997930,0.834365,0.000713,0.156787,0.182379,31,656
41,05/07/16 17,0,0.103842,0.815427,0.080730,0.998062,0.833894,0.000555,0.157412,0.142037,31,659
42,05/07/16 18,0,0.116634,0.802160,0.081206,0.998262,0.833418,0.000432,0.158069,0.110618,31,658
43,05/07/16 19,0,0.122881,0.765228,0.114326,0.998406,0.834676,0.000337,0.156119,0.330654,31,655
44,05/07/16 20,0,0.114535,0.791772,0.093692,0.998353,0.834007,0.000652,0.157154,0.257514,31,657
45,05/07/16 21,0,0.118295,0.802803,0.078903,0.998326,0.833537,0.000813,0.157911,0.200552,31,658
46,05/07/16 22,0,0.125805,0.781112,0.093083,0.998329,0.833836,0.000795,0.157558,0.156190,31,654
47,05/07/16 23,0,0.140013,0.750734,0.109253,0.998335,0.834562,0.000761,0.156661,0.133104,31,655
48,06/07/16 00,0,0.156358,0.714980,0.128662,0.998346,0.835636,0.000691,0.155279,0.154418,31,661
49,06/07/16 01,0,0.170028,0.664013,0.165959,0.998204,0.837427,0.001219,0.152653,0.225896,31,661
50,06/07/16 02,0,0.183471,0.590117,0.226412,0.998303,0.839262,0.000949,0.149792,0.283267,31,662
51,06/07/16 03,0,0.137502,0.756400,0.106098,0.997912,0.838475,0.001493,0.151043,0.220609,31,666
52,06/07/16 04,0,0.130063,0.767388,0.102549,0.998262,0.838174,0.001163,0.151527,0.171810,31,662
53,06/07/16 05,0,0.152899,0.723948,0.123154,0.998303,0.839977,0.000906,0.148981,0.234791,31,657
54,06/07/16 06,0,0.148838,0.708281,0.142880,0.998344,0.839497,0.000705,0.149567,0.234791,31,664
55,06/07/16 07,0,0.069591,0.861449,0.068960,0.997413,0.836962,0.002349,0.153092,0.182856,31,663
56,06/07/16 08,0,0.062953,0.879921,0.057126,0.997713,0.835000,0.001963,0.155800,0.142408,31,658
57,06/07/16 09,0,0.130660,0.722123,0.147217,0.997713,0.835727,0.001963,0.154583,0.341650,31,651
58,06/07/16 10,0,0.111427,0.801478,0.087095,0.997713,0.834428,0.001963,0.156371,0.266077,31,653
59,06/07/16 11,0,0.117559,0.802831,0.079609,0.997713,0.834048,0.001963,0.156949,0.207221,31,657
60,06/07/16 12,0,0.131737,0.770917,0.097346,0.997497,0.834029,0.001975,0.157014,0.161384,31,652
61,06/07/16 13,0,0.119064,0.803662,0.077274,0.997768,0.834968,0.001538,0.155826,0.169688,31,656
62,06/07/16 14,0,0.099684,0.823120,0.077807,0.998262,0.834102,0.001198,0.157045,0.132153,31,660
63,06/07/16 15,0,0.117705,0.803767,0.078528,0.998270,0.833528,0.001149,0.157904,0.134749,31,659
64,06/07/16 16,0,0.105723,0.813568,0.082820,0.997713,0.833100,0.000961,0.158494,0.104943,31,656
65,06/07/16 17,0,0.105100,0.809719,0.085181,0.997900,0.832494,0.000749,0.159273,0.089324,31,655
66,06/07/16 18,0,0.123066,0.782579,0.097083,0.998364,0.832986,0.000583,0.158695,0.120826,31,655
67,06/07/16 19,0,0.130280,0.754896,0.124051,0.997768,0.835089,0.001892,0.155370,0.365640,31,653
68,06/07/16 20,0,0.128107,0.773389,0.105859,0.997768,0.835340,0.001892,0.155063,0.284761,31,661
69,06/07/16 21,0,0.133320,0.759972,0.110305,0.997768,0.835499,0.001892,0.155006,0.221772,31,659
70,06/07/16 22,0,0.146135,0.733292,0.120573,0.998061,0.837191,0.001515,0.152836,0.172716,31,658
