strategy,window_k,decay_lambda,use_fusion,use_decay,physics_bounds_mode,auroc,auroc_ci_lo,auroc_ci_hi,auprc,best_f1,best_threshold,false_alarm_rate_per_day
historical,1,0.1,True,True,domain,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,0.1,False,True,domain,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,0.25,True,True,domain,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,0.25,False,True,domain,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,0.5,True,True,domain,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,0.5,False,True,domain,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,1.0,True,True,domain,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,1.0,False,True,domain,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,2.0,True,True,domain,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,2.0,False,True,domain,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,3,0.1,True,True,domain,0.8253,0.7889,0.86,0.3448,0.4669,0.25,1.3401
historical,3,0.1,False,True,domain,0.7286,0.702,0.7634,0.1029,0.2096,0.56,6.288
historical,3,0.25,True,True,domain,0.8281,0.7928,0.8629,0.3238,0.4844,0.3,0.5882
historical,3,0.25,False,True,domain,0.7261,0.7027,0.7634,0.1022,0.1963,0.67,7.3613
historical,3,0.5,True,True,domain,0.83,0.7958,0.8626,0.2978,0.4561,0.34,1.3401
historical,3,0.5,False,True,domain,0.7246,0.7002,0.7632,0.1021,0.1971,0.8,7.3249
historical,3,1.0,True,True,domain,0.814,0.78,0.8462,0.2366,0.4019,0.4,1.71
historical,3,1.0,False,True,domain,0.7246,0.7002,0.7632,0.1021,0.1536,0.92,12.5215
historical,3,2.0,True,True,domain,0.7756,0.743,0.8057,0.1599,0.2537,0.44,4.6812
historical,3,2.0,False,True,domain,0.7246,0.7002,0.7632,0.1021,0.0997,0.91,23.9879
