window_idx,window_label,event_id,position,condition,rep,json_valid,action_str,action_class,max_uncertainty,threshold_permitted,whitelist_permitted,combined_permitted,detection_tp,detection_tn,detection_fp,detection_fn,llm_latency_ms,completion_tokens,prompt_tokens,reasoning_tokens
1726,0,1,onset,A,0,0,,unclear,0.163468,1,1,1,0,0,0,0,2475.1,58,79,0
1726,0,1,onset,A,1,1,Monitor and adjust the flow rate of the water distribution network based on sensor data,monitor,0.163468,1,1,1,0,1,0,0,2445.3,86,79,0
1726,0,1,onset,A,2,1,Monitor and adjust water flow based on sensor data,monitor,0.163468,1,1,1,0,1,0,0,2496.0,78,79,0
1726,0,1,onset,A,3,1,Monitor sensor data for pressure and flow anomalies,monitor,0.163468,1,1,1,0,1,0,0,2337.1,40,79,0
1726,0,1,onset,A,4,1,Monitor sensor data for leaks and pressure changes,monitor,0.163468,1,1,1,0,1,0,0,2584.1,88,79,0
1726,0,1,onset,A,5,1,Monitor and adjust water flow based on sensor readings,monitor,0.163468,1,1,1,0,1,0,0,2573.9,87,79,0
1726,0,1,onset,A,6,1,Monitor the water pressure in the distribution lines,monitor,0.163468,1,1,1,0,1,0,0,2375.2,50,79,0
1726,0,1,onset,A,7,1,Monitor and adjust the water flow rate based on sensor data,monitor,0.163468,1,1,1,0,1,0,0,2495.4,53,79,0
1726,0,1,onset,A,8,1,Monitor and adjust the water flow rate based on sensor data,monitor,0.163468,1,1,1,0,1,0,0,2409.2,50,79,0
1726,0,1,onset,A,9,0,,unclear,0.163468,1,1,1,0,0,0,0,2649.7,143,79,0
1727,0,1,onset,A,0,0,,unclear,0.193190,1,1,1,0,0,0,0,2372.2,56,79,0
1727,0,1,onset,A,1,0,,unclear,0.193190,1,1,1,0,0,0,0,14219.5,4096,79,0
1727,0,1,onset,A,2,1,Monitor and adjust water pressure in the distribution network based on sensor readings.,monitor,0.193190,1,1,1,0,1,0,0,2528.2,53,79,0
1727,0,1,onset,A,3,1,Monitor system temperature and pressure sensors,monitor,0.193190,1,1,1,0,1,0,0,2435.7,58,79,0
1727,0,1,onset,A,4,1,Monitor and adjust water flow based on sensor data,monitor,0.193190,1,1,1,0,1,0,0,2398.6,48,79,0
1727,0,1,onset,A,5,0,,unclear,0.193190,1,1,1,0,0,0,0,2552.4,100,79,0
